route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
49-2256,GLINE_2-S1-Sa-Saturday-03,57943387-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421887,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943388-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421887,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943389-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421888,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943390-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421887,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943391-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421888,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943392-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421887,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943393-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421888,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943394-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421889,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943395-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421887,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943396-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421888,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943397-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421889,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943398-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421887,S1-Sa03-49-s1-1
