route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
60-2254,GLINE_2-S1-Wk-Weekday-05,57940029-GLINE_2-S1-Wk-Weekday-05,"to Westwood Village",1,6421834,S1-Wk05-60-s1-1
60-2254,GLINE_2-S1-Wk-Weekday-05,57940030-GLINE_2-S1-Wk-Weekday-05,"to Westwood Village",1,6421833,S1-Wk05-60-s1-1
60-2254,GLINE_2-S1-Wk-Weekday-05,57940031-GLINE_2-S1-Wk-Weekday-05,"to Westwood Village",1,6421832,S1-Wk05-60-s1-1
60-2254,GLINE_2-S1-Wk-Weekday-05,57940032-GLINE_2-S1-Wk-Weekday-05,"to Westwood Village",1,6421838,S1-Wk05-60-s1-1
60-2254,GLINE_2-S1-Wk-Weekday-05,57940038-GLINE_2-S1-Wk-Weekday-05,"to Westwood Village",1,6421832,S1-Wk05-60-s1-1
10-2254,GLINE_2-S1-Wk-Weekday-05,57940041-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421823,S1-Wk05-10-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57940042-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421823,S1-Wk05-12-n1-0
11-2254,GLINE_2-S1-Wk-Weekday-05,57940043-GLINE_2-S1-Wk-Weekday-05,"to Madison Park",0,6421819,S1-Wk05-11-n1-0
11-2254,GLINE_2-S1-Wk-Weekday-05,57940044-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421820,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940045-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421821,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940046-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421822,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940047-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421822,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940048-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421821,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940049-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421820,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940050-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421822,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940051-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421821,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940052-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421820,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940053-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421819,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940054-GLINE_2-S1-Wk-Weekday-05,"to Madison Park",0,6421819,S1-Wk05-11-n1-0
11-2254,GLINE_2-S1-Wk-Weekday-05,57940055-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421819,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940056-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421822,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940057-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421821,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940058-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421822,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940059-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421821,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940060-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421822,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940061-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421821,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940062-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421821,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940063-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421822,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940064-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421820,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940065-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421821,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940066-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421822,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940067-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421820,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940068-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421821,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940069-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421822,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940070-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421820,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940071-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421821,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940072-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421822,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940073-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421820,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940074-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421821,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940075-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421822,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940076-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421820,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940077-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421821,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940078-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421820,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940079-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421821,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940080-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421820,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940081-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421821,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940082-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421820,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940083-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421821,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940084-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421820,S1-Wk05-11-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57940085-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421821,S1-Wk05-11-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57940095-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421824,S1-Wk05-12-n1-0
10-2254,GLINE_2-S1-Wk-Weekday-05,57940096-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421824,S1-Wk05-10-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57940097-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421823,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57940098-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421824,S1-Wk05-12-s1-1
10-2254,GLINE_2-S1-Wk-Weekday-05,57940099-GLINE_2-S1-Wk-Weekday-05,"to Capitol Hill",0,6421823,S1-Wk05-10-n1-0
10-2254,GLINE_2-S1-Wk-Weekday-05,57940100-GLINE_2-S1-Wk-Weekday-05,"to Capitol Hill",0,6421824,S1-Wk05-10-n1-0
49-2254,GLINE_2-S1-Wk-Weekday-05,57940109-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421830,S1-Wk05-49-s1-1
49-2254,GLINE_2-S1-Wk-Weekday-05,57940110-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421828,S1-Wk05-49-s1-1
49-2254,GLINE_2-S1-Wk-Weekday-05,57940111-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421830,S1-Wk05-49-s1-1
49-2254,GLINE_2-S1-Wk-Weekday-05,57940112-GLINE_2-S1-Wk-Weekday-05,"to University District",0,6421828,S1-Wk05-49-n2-0
49-2254,GLINE_2-S1-Wk-Weekday-05,57940113-GLINE_2-S1-Wk-Weekday-05,"to University District",0,6421828,S1-Wk05-49-n2-0
49-2254,GLINE_2-S1-Wk-Weekday-05,57940114-GLINE_2-S1-Wk-Weekday-05,"to University District",0,6421830,S1-Wk05-49-n2-0
49-2254,GLINE_2-S1-Wk-Weekday-05,57940115-GLINE_2-S1-Wk-Weekday-05,"to University District",0,6421831,S1-Wk05-49-n2-0
