stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_x_coord,stop_y_coord,zone_id,stop_url,location_type,parent_station
2358,,"1st Ave N / Harrison St",,  47.621913,-122.355324,1265099.8,230565.8,,,0,
2359,,"1st Ave N / Harrison St",,  47.622448,-122.355321,1265104.5,230760.9,,,0,
2360,,"1st Ave N / Republican St",,  47.623122,-122.355318,1265110.1,231006.7,,,0,
2370,,"Mercer St / Queen Anne Ave N",,  47.624584,-122.356545,1264818.0,231545.8,,,0,
2672,,"Queen Anne Ave N / W Mercer St",,  47.624063,-122.356791,1264753.7,231356.8,,,0,
27420,,"E Yesler Way / Yesler Way",,  47.601762,-122.320289,1273596.1,223047.7,,,0,
27500,,"E Yesler Way / 10th Ave",,  47.601640,-122.319828,1273709.1,223001.2,,,0,
29258,,"E John St / 22nd Ave E",,  47.620217,-122.303992,1277744.7,229701.0,,,0,
29259,,"E Thomas St / 19th Ave E",,  47.620489,-122.307186,1276958.9,229815.2,,,0,
29260,,"E Thomas St / 16th Ave E",,  47.620560,-122.311158,1275980.1,229860.1,,,0,
29261,,"E John St / E John Ct",,  47.619966,-122.313202,1275472.0,229653.1,,,0,
29262,,"E John St / 10th Ave E",,  47.619916,-122.319984,1273799.4,229667.0,,,0,
29266,,"E Olive Way / Summit Ave E",,  47.619109,-122.325028,1272549.8,229396.9,,,0,
29268,,"E Olive Way / E Olive Aly",,  47.619173,-122.324951,1272569.3,229419.7,,,0,
29270,,"E John St / Pedestrian Walk",,  47.619913,-122.320466,1273680.5,229668.1,,,0,
29273,,"E John St / 15th Ave E",,  47.619967,-122.313040,1275512.0,229652.7,,,0,
29274,,"E Thomas St / 16th Aly E",,  47.620499,-122.311017,1276014.5,229837.1,,,0,
29275,,"E Thomas St / 19th Ave E",,  47.620490,-122.307511,1276878.8,229817.1,,,0,
29276,,"E John St / 22nd Ave E",,  47.620213,-122.303172,1277946.8,229695.6,,,0,
29277,,"E John St / 12th Aly E",,  47.619942,-122.316420,1274678.2,229659.7,,,0,
29301,,"E John St / 12th Ave E",,  47.619934,-122.317533,1274403.7,229662.0,,,0,
